"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"2735-21","USD","2735-21-0","Metrô Penha",0,55613
"2735-21","USD","2735-21-1","Jd. São Francisco",1,55614
"2736-10","USD","2736-10-0","Metrô Penha",0,55512
"2736-10","USD","2736-10-1","Ermelino Matarazzo",1,55513
"273D-10","USD","273D-10-0","Metrô Artur Alvim",0,52589
"273D-10","USD","273D-10-1","Pq. D. Joao Nery",1,52590
"273G-10","USD","273G-10-0","Metrô Artur Alvim",0,52644
"273G-10","USD","273G-10-1","Jd. Helena",1,52645
"273J-10","USD","273J-10-0","Metrô Penha",0,52327
"273J-10","USD","273J-10-1","Jd. Romano",1,52329
"273L-10","USD","273L-10-0","Metrô Artur Alvim",0,55276
"273L-10","USD","273L-10-1","Jd. Moreno",1,55277
"273N-10","USD","273N-10-0","Metrô Vila Matilde",0,54251
"273N-10","USD","273N-10-1","Cidade Kemel Ii",1,54252
"273R-10","USD","273R-10-0","Metrô Artur Alvim",0,45866
"273R-10","USD","273R-10-1","Jd. Robru",1,45867
"273R-11","USD","273R-11-0","Jd. Robru",0,51481
"273V-10","USD","273V-10-0","Metrô Penha",0,55508
"273V-10","USD","273V-10-1","Parada Xv Novembro",1,55509
"273X-10","USD","273X-10-0","Metrô Artur Alvim",0,52642
"273X-10","USD","273X-10-1","Jd. Das Oliveiras",1,52643
"2740-10","USD","2740-10-0","Metrô Santana",0,53580
"2740-10","USD","2740-10-1","Pedra Branca",1,53581
"2740-41","USD","2740-41-0","Metrô Parada Inglesa",0,54688
"2740-41","USD","2740-41-1","Horto Florestal",1,54689
"2755-10","USD","2755-10-0","Metrô Penha",0,52378
"2755-10","USD","2755-10-1","Guaianazes",1,52379
"2755-51","USD","2755-51-0","Term. A.e. Carvalho",0,53115
"2755-51","USD","2755-51-1","Guaianazes",1,53116
"2756-10","USD","2756-10-0","Metrô Patriarca",0,52629
"2756-10","USD","2756-10-1","Guaianazes",1,52630
"2762-10","USD","2762-10-0","Metrô Tatuapé",0,52619
"2762-10","USD","2762-10-1","Ermelino Matarazzo",1,52620
"2765-10","USD","2765-10-0","Metrô Tatuapé",0,52617
"2765-10","USD","2765-10-1","Vila Cisper",1,52618
"2766-10","USD","2766-10-0","Metrô Itaquera",0,55434
"2766-10","USD","2766-10-1","Jd. Camargo Velho",1,55372
"2767-10","USD","2767-10-0","Metrô Tatuapé",0,52615
"2767-10","USD","2767-10-1","Cid. Pedro J. Nunes",1,52616
"2768-10","USD","2768-10-0","Metrô Penha",0,50808
"2768-10","USD","2768-10-1","Vila Mara",1,50809
"2769-10","USD","2769-10-0","Metrô Tatuapé",0,52609
"2769-10","USD","2769-10-1","Jd. Romano",1,52612
"2770-10","USD","2770-10-0","Metrô Vila Matilde",0,54264
"2770-10","USD","2770-10-1","Estação José Bonifácio",1,54265
"2772-10","USD","2772-10-0","Metrô Penha",0,52297
"2772-10","USD","2772-10-1","Jd. Nazare",1,52298
"2780-10","USD","2780-10-0","Metrô Itaquera",0,55435
"2780-10","USD","2780-10-1","Jd. Camargo Novo",1,55373
"278A-10","USD","278A-10-0","Penha  ",0,54849
"278A-10","USD","278A-10-1","Metrô Santana",1,54850
"297A-10","USD","297A-10-0","Metrô Barra Funda",0,54690
"297A-10","USD","297A-10-1","Limão",1,54691
"3001-10","USD","3001-10-0","Term. São Miguel",0,50469
"3001-10","USD","3001-10-1","Itaim Paulista",1,50470
"3002-10","USD","3002-10-0","Sao Miguel",0,48777
"3002-10","USD","3002-10-1","Jd. Mabel",1,48778
"3003-10","USD","3003-10-0","Cptm Vila Mara/itaim (circular)",0,54266
"3004-10","USD","3004-10-0","Cptm Vila Mara/itaim (circular)",0,52597
"3006-10","USD","3006-10-0","Estação Cptm Guaianazes (circ.)",0,52596
"3013-10","USD","3013-10-0","Metalurgicos",0,52473
"3019-10","USD","3019-10-0","Vila Paulista I",0,52544
"3020-10","USD","3020-10-0","Shop.c.l. Aricanduva",0,52498
"3020-10","USD","3020-10-1","V. Cosmopolita",1,52499
"3020-31","USD","3020-31-0","Shop.c.l. Aricanduva",0,52613
"3020-31","USD","3020-31-1","Conj. Jose Bonifacio",1,52614
"3021-10","USD","3021-10-0","Vila Prudente",0,51322
"3021-10","USD","3021-10-1","Pq. Bancario",1,51323
"3023-10","USD","3023-10-0","Shop. Aricanduva",0,45939
"3023-10","USD","3023-10-1","Pq. Sao Rafael",1,45940
"3024-10","USD","3024-10-0","Vila Prudente",0,51304
"3024-10","USD","3024-10-1","Vila Industrial",1,51305
"3025-10","USD","3025-10-0","Est. Guaianazes-cptm",0,52727
"3025-10","USD","3025-10-1","Jd. Wilma Flor",1,52728
"3026-10","USD","3026-10-0","Est.guaianazes-cptm",0,45950
"3026-10","USD","3026-10-1","Vila Iolanda Ii",1,45951
"3027-10","USD","3027-10-0","Shop. Aricanduva",0,46015
"3027-10","USD","3027-10-1","Vila Minerva",1,46844
"3029-10","USD","3029-10-0","Metrô Tatuapé",0,48095
"3029-10","USD","3029-10-1","Jd. Das Rosas",1,50776
"3031-10","USD","3031-10-0","Metrô Itaquera",0,52636
"3031-10","USD","3031-10-1","Jd. Alto Paulistano",1,55409
"3032-10","USD","3032-10-0","Circular",0,53954
"3033-10","USD","3033-10-0","Sao Mateus",0,53396
"3033-10","USD","3033-10-1","Guaianazes",1,53397
"3046-10","USD","3046-10-0","Tatuape",0,54909
"3046-10","USD","3046-10-1","Vila Guarani",1,42920
"3053-10","USD","3053-10-0","Metrô Belém",0,48099
"3053-10","USD","3053-10-1","Jd. Itapolis",1,47385
"3054-10","USD","3054-10-0","Hosp. Sapopemba",0,52659
"3054-10","USD","3054-10-1","Jd. Palanque",1,54374
"3063-10","USD","3063-10-0","Term. Sao Mateus",0,46345
"3063-10","USD","3063-10-1","Guaianazes",1,46346
